crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,4,0.8,0.1,1,18972,-78825.95561963534,40.14504086179659,
0.2,2,0.9,0.1,1,21657,-75397.6722446053,41.16174688190222,
0.2,2,1.0,0.2,1,14455,-78315.87547339243,41.11032175179571,
0.2,3,1.0,0.4,0,20172,-80524.49492028028,40.52632736880332,
0.2,3,0.9,0.1,0,14086,-75907.37959607044,40.78662882419303,
0.2,1,0.8,0.1,1,21408,-78211.22300967164,41.69315265491605,
0.2,2,1.0,0.2,0,14454,-77447.10165153982,41.53627490019426,
0.2,4,0.7,0.2,0,17312,-79715.03491246281,41.033222012687474,
0.2,4,0.8,0.4,1,21171,-77453.72113940466,41.061138920951635,
0.2,2,0.8,0.3,1,14158,-76534.43271111856,42.225784552283585,
0.2,4,0.9,0.1,0,18626,-78737.439734852,41.19316830905154,
0.2,4,0.6,0.5,0,19377,-80651.96477127312,41.442057977896184,
0.2,3,1.0,0.1,1,19846,-77408.37557186752,42.16990990424529,
0.2,4,0.8,0.3,0,20041,-76006.1076638138,41.91937083797529,
0.2,2,0.9,0.2,1,18696,-79066.05130619791,42.97228181315586,
0.2,4,0.9,0.3,1,14488,-78308.74413371415,42.045827311929315,
0.2,3,0.9,0.2,0,18996,-77270.530527939,42.59606134984642,
0.2,4,0.9,0.4,0,15616,-81786.74263681055,42.13831011066213,
0.2,4,0.9,0.4,1,15617,-81894.30479218731,42.38341514626518,
0.2,4,0.9,0.3,0,14487,-75373.64493495222,42.69266841886565,
0.2,4,1.0,0.1,0,12513,-75241.44779706879,43.16953003779054,
0.2,2,1.0,0.1,1,13928,-72108.7794659552,44.18064119666815,
0.2,2,0.9,0.5,0,19893,-80854.40216378172,44.40623716125265,
0.2,2,0.7,0.5,1,13453,-80500.5799063625,47.14631658606231,
0.2,1,1.0,0.5,0,14802,-81197.40837731483,49.4491267981939,
0.2,2,0.6,0.3,0,13502,-75348.49303236775,50.18139818217605,
0.2,2,0.8,0.4,1,14714,-77813.64046772805,51.047944156918675,
0.2,4,0.6,0.3,1,21003,-79745.58272342314,51.302176971919835,
0.2,4,0.6,0.5,1,19378,-80797.9870741393,51.43448926182464,
0.2,2,0.7,0.4,1,12719,-79889.69035014343,54.18315379181877,
0.2,2,0.7,0.2,0,15429,-77541.32581515294,55.98986622132361,
0.2,3,0.7,0.3,0,16208,-81070.15937236608,56.09317369898781,
0.2,2,0.7,0.3,1,18988,-80736.47781663724,56.744621007703245,
0.2,4,0.7,0.4,1,17304,-80394.92528909116,56.47095317393541,
0.2,2,0.7,0.4,0,12718,-82664.42931625673,58.518611585721374,
0.2,3,0.6,0.1,0,15648,-77497.74170394015,58.51368157379329,
0.2,4,0.6,0.1,1,18317,-82499.54662636346,59.48770366888493,
0.2,2,0.7,0.3,0,18987,-79253.97473141759,60.33260607533157,
0.2,3,0.9,0.3,0,14521,-79269.23237597868,61.15081039490178,
0.2,3,0.6,0.2,1,18687,-81211.40503008677,61.7619336838834,
0.2,3,1.0,0.2,0,12883,-78256.71040760665,61.66862122435123,
0.2,4,0.8,0.1,0,18971,-77372.89027248738,61.55938413506374,
0.2,4,0.6,0.4,0,20515,-81168.28484348259,61.749715781304985,
0.2,2,1.0,0.4,0,21743,-76132.0719751128,62.817940776236355,
0.2,4,0.8,0.5,1,20033,-82099.01909304627,62.29991352977231,
0.2,3,0.8,0.2,0,19341,-80531.89586212914,63.16385571565479,
0.2,4,0.7,0.1,0,13801,-76763.86857484581,63.404643817804754,
0.2,4,0.7,0.5,0,18037,-83981.42588122048,63.43076168606058,
0.2,4,0.7,0.5,1,18038,-78331.94065111254,63.71650602295995,
0.2,3,0.6,0.2,0,18686,-81348.99480766468,64.59562744712457,
0.2,3,0.8,0.3,1,20076,-76134.11277547023,65.26209838408977,
0.2,3,0.8,0.2,1,19342,-76667.7612913136,65.33934741420671,
0.2,3,0.8,0.1,1,14432,-75406.44360295193,65.86001748312265,
0.2,3,1.0,0.3,1,13618,-78383.42875703628,65.86734404787421,
0.2,3,0.9,0.2,1,18997,-75362.74345128048,66.28521153703332,
0.2,4,0.6,0.3,0,21002,-78985.82514458956,66.53612270066515,
0.2,3,0.6,0.1,1,15649,-76593.26436613013,67.16052997438237,
0.2,2,0.8,0.1,0,17210,-77280.53662241652,67.48969041882083,
0.2,3,0.6,0.3,1,19421,-80698.35009688116,68.1347856069915,
0.2,5,0.6,0.5,0,19956,-82553.96988845967,32.603296641260386,
0.2,5,0.6,0.4,0,19222,-82827.87540980894,33.846076145302504,
0.2,4,0.9,0.5,1,14479,-82823.03765088605,68.9337108368054,
0.2,5,0.6,0.1,1,14322,-75353.07875145116,36.173794329632074,
0.2,5,0.6,0.1,0,14321,-77953.28174849378,36.675084623042494,
0.2,5,0.6,0.4,1,19223,-77442.11426392997,35.39363317610696,
0.2,3,0.7,0.2,1,17347,-78772.60117257018,71.20208521699533,
0.2,4,1.0,0.2,0,12849,-76067.18451974596,38.10058073187247,
0.2,5,0.6,0.2,0,19231,-77571.53303107938,36.90553201874718,
0.2,5,0.7,0.4,0,16266,-82992.98926744482,34.56651334790513,
0.2,4,1.0,0.4,1,14713,-83097.06064789197,37.707733124960214,
0.2,5,0.6,0.3,0,18093,-82970.28819112827,36.98159294901416,
0.2,4,1.0,0.5,0,13574,-81009.02819420672,37.81346480874345,
0.2,4,1.0,0.5,1,13575,-79458.60647535595,37.77387922629714,
0.2,5,0.8,0.5,1,17124,-84437.28812718892,33.90488677518442,
0.2,4,1.0,0.2,1,12850,-78650.69951471678,38.974821851588786,
0.2,4,0.9,0.2,0,13753,-80195.2124016853,71.67554993834347,
0.2,5,0.6,0.5,1,19957,-83420.93757858126,36.38955372385681,
0.2,5,0.7,0.1,1,12982,-76703.35398876101,36.273508618120104,
0.2,3,0.6,0.4,0,15975,-79218.32398602474,72.62844495801255,
0.2,5,0.7,0.1,0,12981,-78402.93243119925,36.93208458600566,
0.2,4,1.0,0.3,0,15199,-78428.37562241987,39.80012345686555,
0.2,5,0.8,0.4,0,18261,-78089.68769064987,35.175653846003115,
0.2,3,1.0,0.4,1,20173,-74324.7957310023,73.18321518693119,
