crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,1,0.6,0.1,1,12369,-64459.915305912116,43.31828503822908,
0.2,2,0.6,0.1,1,16556,-63903.71052225136,43.4646784379147,
0.2,2,0.8,0.4,0,14713,-69592.01782050061,43.31761647714302,
0.2,2,1.0,0.4,1,21744,-66471.18467627482,43.306776344776154,
0.2,2,0.8,0.1,0,17210,-62994.54304356066,43.4523154576309,
0.2,2,0.7,0.1,1,15216,-60812.69122454664,43.652214562986046,
0.2,3,0.7,0.1,1,17646,-65924.65014345475,44.00592089025304,
0.2,1,0.9,0.5,1,20916,-65662.88177361814,44.81155974185094,
0.2,2,1.0,0.5,1,20606,-66318.20937880725,44.70232270332053,
0.2,1,1.0,0.2,0,15693,-64363.29385093205,45.44832319719717,
0.2,2,0.8,0.2,0,17424,-65054.16747817896,45.447785708121955,
0.2,3,0.8,0.5,0,17364,-68999.04925216854,45.333089981693774,
0.2,1,1.0,0.1,0,16565,-65849.35276791168,45.78260515490547,
0.2,1,0.6,0.2,0,21496,-67516.45528711588,46.300578392110765,
0.2,1,0.8,0.3,1,15180,-62311.75194449645,46.27027000999078,
0.2,3,0.7,0.2,1,17347,-64396.39785074431,46.06703310785815,
0.2,2,0.8,0.1,1,17211,-63453.06158876821,46.477693180087954,
0.2,3,0.6,0.3,0,19420,-71899.67078009271,47.8396748509258,
0.2,3,0.8,0.4,1,15015,-67645.3161751145,47.82582113472745,
0.2,3,0.7,0.5,1,13498,-67776.56593204569,48.14126160601154,
0.2,1,0.6,0.1,0,12368,-64886.00955000981,49.06973684998229,
0.2,1,0.8,0.2,0,20535,-67853.82361419094,49.136894274968654,
0.2,3,0.8,0.2,0,19341,-64430.07001507851,49.33184398524463,
0.2,3,0.9,0.2,1,18997,-66257.2586104128,49.79540826100856,
0.2,3,0.6,0.4,0,15975,-67314.73533475792,51.272984188981354,
0.2,1,0.6,0.3,0,16140,-67280.79805676357,52.15002482291311,
0.2,2,1.0,0.3,0,21187,-63178.36721634202,51.87814758811146,
0.2,2,1.0,0.4,0,21743,-65036.761933284426,52.282365527935326,
0.2,3,0.7,0.3,0,16208,-66620.63290911564,53.10434697335586,
0.2,3,0.8,0.2,1,19342,-67112.70444477434,53.132670810911804,
0.2,3,0.6,0.3,1,19421,-65219.48766409044,53.3016641731374,
0.2,3,0.7,0.1,0,17645,-63889.89729324798,53.35956448921934,
0.2,3,0.6,0.2,1,18687,-68588.73132013906,53.64698288682848,
0.2,3,1.0,0.3,0,13617,-61148.974222453224,54.191712331958115,
0.2,3,0.7,0.4,1,14636,-68648.10451073779,56.666550496127456,
0.2,3,0.8,0.1,1,14432,-63906.50793804224,57.83426239993423,
0.2,1,0.6,0.3,1,16141,-66614.51041999938,58.695254974998534,
0.2,1,0.6,0.4,0,16696,-68551.4755312125,58.764476215001196,
0.2,3,0.7,0.2,0,17346,-67031.30858771014,60.360351723153144,
0.2,4,0.6,0.5,1,19378,-70113.6328064633,61.57295342721045,
0.2,3,0.9,0.1,1,14087,-62801.621574230514,65.24634257471189,
0.2,3,0.8,0.3,0,20075,-63675.598567788365,66.07502509001642,
0.2,3,1.0,0.3,1,13618,-64990.59923032683,67.76179983792827,
0.2,3,0.8,0.3,1,20076,-64737.678271922465,69.49169799918309,
0.2,5,0.7,0.5,1,15129,-69168.3014406893,34.655235432088375,
0.2,4,1.0,0.3,1,15200,-64514.20740505953,39.18206173181534,
0.2,4,0.8,0.2,1,19308,-64092.31600759307,75.42312285210937,
0.2,4,1.0,0.4,0,14712,-62138.0834041721,39.033022521063685,
0.2,5,0.6,0.4,1,19223,-70416.2266331891,37.241447931621224,
0.2,5,0.6,0.1,1,14322,-62880.192061294365,38.422016211319715,
0.2,4,1.0,0.3,0,15199,-66175.28025941079,40.322283615823835,
0.2,4,1.0,0.5,1,13575,-65474.01195063204,38.9688828648068,
0.2,5,0.7,0.5,0,15128,-67917.87402181084,37.808965869713575,
0.2,5,0.6,0.5,1,19957,-71141.15433951798,38.3696069936268,
0.2,5,0.6,0.3,0,18093,-68296.11392750127,38.90516306273639,
0.2,5,0.6,0.2,1,19232,-64559.058234077056,39.1338880402036,
0.2,5,0.9,0.4,0,12707,-65898.99526721574,36.96750258188695,
0.2,5,0.7,0.3,0,15137,-64983.253028762614,38.52826088294387,
0.2,4,1.0,0.5,0,13574,-67786.32984477977,39.96200599288568,
0.2,5,0.6,0.2,0,19231,-66057.26597732092,39.71426908578724,
0.2,5,0.6,0.3,1,18094,-63544.38692879764,39.49234967119992,
0.2,5,0.7,0.2,1,14404,-67100.43977107343,38.957943440880626,
0.2,5,0.7,0.4,1,16267,-70635.5235752538,38.92104504397139,
0.2,5,0.6,0.4,0,19222,-70364.04446381939,39.91442266013473,
0.2,4,1.0,0.4,1,14713,-64107.835944992315,41.280406299978495,
0.2,5,0.8,0.5,0,17123,-66548.85892213475,39.41493044188246,
0.2,4,1.0,0.1,1,12514,-66448.25305276188,43.308474661782384,
0.2,5,0.7,0.1,0,12981,-65972.94909304971,40.48921156581491,
0.2,5,0.9,0.5,1,21570,-66480.42487359438,38.69757636496797,
0.2,5,0.8,0.2,0,18270,-62660.714881018896,39.98116179602221,
0.2,5,0.7,0.2,0,14403,-60450.30979754071,40.61240031570196,
0.2,5,0.9,0.4,1,12708,-67461.70574792063,38.960167537909,
0.3,1,0.7,0.5,0,13179,-64618.833532798664,36.889720301143825,
0.2,5,0.7,0.3,1,15138,-65668.74152091637,40.545680752024055,
0.2,5,0.6,0.5,0,19956,-66749.49591959994,40.94644055515528,
0.3,1,0.8,0.2,0,19240,-67724.8130102677,36.87200014712289,
0.2,5,0.6,0.1,0,14321,-65473.902450516754,41.740175934974104,
0.2,5,0.8,0.3,1,17133,-66492.01708575686,40.251464031171054,
0.2,5,0.9,0.2,1,12717,-65126.58942116687,39.720445666927844,
0.2,4,1.0,0.2,0,12849,-65357.72305357274,44.08749439101666,
0.2,5,0.8,0.5,1,17124,-66943.24631019414,40.408258457202464,
0.2,5,0.7,0.4,0,16266,-67903.54402932545,41.32354369061068,
0.2,5,1.0,0.3,0,15465,-63504.83254462284,39.71558814169839,
0.2,5,0.8,0.4,1,18262,-67393.3666087317,41.048510055057704,
0.2,4,1.0,0.2,1,12850,-64492.98557857892,44.63695769291371,
0.3,1,0.6,0.5,1,16136,-69462.059808743,38.6264266599901,
0.3,1,0.6,0.2,0,15410,-65833.876746097,39.42685674922541,
0.3,1,0.6,0.4,1,17274,-69430.06354908361,39.068374185822904,
0.2,5,1.0,0.2,0,13428,-63551.42395346841,40.25839163688943,
0.3,1,0.6,0.5,0,16135,-68731.55635506299,39.01973388809711,
0.2,5,0.8,0.4,0,18261,-67660.70962662823,41.688918536994606,
0.2,5,0.8,0.1,0,13360,-65218.50692681604,41.987707884050906,
0.2,5,1.0,0.3,1,15466,-67819.34497131212,40.289029262028635,
0.2,5,1.0,0.5,1,14154,-68437.50101310069,40.18365186871961,
0.2,5,1.0,0.1,0,18518,-63286.835071565736,40.70892428699881,
0.2,5,0.8,0.1,1,13361,-62510.26698100324,42.06617313902825,
0.3,1,0.6,0.3,1,22144,-67029.14424498023,39.883267358876765,
0.2,5,0.9,0.1,1,14632,-63530.05912697248,41.6091698189266,
0.3,1,0.6,0.1,0,18371,-65111.24246912161,40.38020440982655,
0.3,1,0.6,0.3,0,22143,-61524.678534558836,40.18735945597291,
0.2,5,0.9,0.1,0,14631,-59470.029273287444,41.84050857601687,
0.2,5,1.0,0.4,1,21804,-66084.4683880146,40.68145287083462,
0.2,5,0.7,0.1,1,12982,-64067.77916541051,42.98193226009607,
0.3,1,0.7,0.4,0,12445,-66404.54646603123,39.513911426998675,
0.3,1,0.7,0.4,1,12446,-67380.50969715086,39.38615123089403,
0.3,1,0.7,0.3,0,19187,-68241.8708512425,39.584084139205515,
0.3,1,0.7,0.1,1,15416,-66253.44118526335,39.71140164928511,
0.2,5,0.9,0.2,0,12716,-67129.37727000903,42.24889206793159,
0.2,5,0.9,0.5,0,21569,-69259.21892479602,41.82991033419967,
0.3,1,0.7,0.1,0,15415,-63034.19218764558,40.37279384676367,
0.3,1,0.7,0.5,1,13180,-67361.57035674424,39.98998899711296,
0.3,1,0.8,0.1,0,17410,-64215.91304169303,40.23110618721694,
0.3,1,0.8,0.4,1,14441,-69710.25174138755,39.755532794166356,
0.3,1,0.8,0.1,1,17411,-63792.24302985571,40.227758592925966,
0.3,1,0.6,0.4,0,17273,-67816.2498610942,41.22068849392235,
0.2,5,0.8,0.3,0,17132,-64232.651081098105,43.65162597084418,
0.2,5,0.9,0.3,1,21579,-64178.993580219394,42.85786602972075,
0.3,1,0.8,0.3,1,21183,-64529.70325268701,40.22541247215122,
0.3,1,0.8,0.4,0,14440,-67749.06129313674,40.27493004221469,
0.3,1,0.6,0.1,1,18372,-68328.38014422463,42.2683032900095,
0.3,1,0.9,0.4,0,20758,-64832.35099579793,38.408213780261576,
0.2,5,1.0,0.4,0,21803,-65091.76397330593,42.71057161781937,
0.2,5,1.0,0.2,1,13429,-59899.30095373695,43.05110802780837,
0.2,5,0.8,0.2,1,18271,-63752.429342878524,44.66234124917537,
0.2,5,1.0,0.5,0,14153,-65767.3285001557,43.061535202898085,
0.3,1,0.8,0.5,0,18349,-66815.4457525542,40.99700142769143,
0.2,3,1.0,0.2,1,12884,-62307.68713510056,84.1282694642432,
0.3,1,0.8,0.5,1,18350,-69465.70516980733,40.943235476035625,
0.3,1,0.9,0.1,0,18681,-66365.5478948566,40.628169344272465,
0.3,1,0.7,0.2,1,14071,-65399.78156386352,42.510006830096245,
0.3,1,0.8,0.3,0,21182,-66791.186054751,42.06427597394213,
0.3,1,0.7,0.3,1,19188,-66154.26880780736,42.85459265811369,
0.2,5,0.9,0.3,0,21578,-65106.37852902846,45.29986946377903,
0.2,5,1.0,0.1,1,18519,-63052.82270306136,44.997062881011516,
0.3,1,0.9,0.1,1,18682,-60895.60664337715,42.10372092900798,
