crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.3,5,0.7,0.2,-119569.53991853827,1836.4513720234402,2
0.4,5,1.0,0.1,-119569.62435022002,143.75355629867852,2
0.5,2,0.7,0.3,-119599.80402820843,1729.8880347714207,2
0.3,2,0.9,0.1,-119600.56277825472,2020.2885277349967,2
0.2,2,1.0,0.1,-119644.21623095436,924.1940069510845,2
0.4,3,1.0,0.1,-119730.83831059195,4000.4055646149254,2
0.2,2,0.6,0.3,-119791.62572449604,1562.4387843404566,2
0.4,1,0.9,0.4,-119847.68019353502,1582.9003552041638,2
0.3,2,0.8,0.2,-119868.66836323251,4923.748519370028,2
0.3,2,1.0,0.1,-119903.65311057988,2018.6582258933106,2
0.3,4,1.0,0.4,-119970.54623468118,3349.369337021311,2
0.3,3,0.6,0.2,-119970.8738917552,3555.763857525904,2
0.4,1,0.8,0.1,-120028.41530981881,264.4151636122359,2
0.6,2,1.0,0.1,-120044.17482513834,574.5838185318084,2
0.4,3,0.9,0.1,-120072.57541370354,2856.0282476569696,2
0.4,5,0.8,0.1,-120123.65995622458,294.9881868326586,2
0.5,1,0.9,0.2,-120136.52460774189,3044.536980005003,2
0.2,1,0.7,0.1,-120158.81849298131,2717.6014713643576,2
0.2,3,0.9,0.1,-120191.72293992268,723.8759043424876,2
0.2,3,0.7,0.4,-120203.51519402987,1563.0696847367108,2
0.6,2,0.9,0.1,-120215.76161158629,1187.0735306103863,2
0.4,3,0.6,0.3,-120304.51106347813,383.25194206704964,2
0.5,2,0.9,0.1,-120309.7052740099,1238.2619973191222,2
0.3,1,1.0,0.4,-120357.83509852007,468.09847257769485,2
0.2,3,0.9,0.2,-120408.37027489283,765.0670375528867,2
0.4,3,0.8,0.1,-120427.49906864058,4413.4590872612425,2
0.5,2,1.0,0.1,-120494.33446034646,765.3342614161218,2
0.3,3,1.0,0.3,-120498.2017000066,1935.1097121623693,2
0.5,4,1.0,0.1,-120515.49933038707,1176.5252542177532,2
0.4,2,0.8,0.1,-120532.123889924,1566.384750875082,2
0.6,2,1.0,0.2,-120548.13683998556,2652.0236409227114,2
0.6,1,0.9,0.1,-120569.56008573232,3326.8135348398414,2
0.2,1,0.9,0.1,-120586.58288968443,1274.694386763261,2
0.4,4,0.9,0.2,-120598.31910196837,557.1695031326605,2
0.4,1,1.0,0.5,-120613.61928961764,123.23199609358545,2
0.4,1,1.0,0.1,-120626.1342373962,3122.9514460056216,2
0.2,1,0.9,0.4,-120670.70387366708,1229.5185618934117,2
0.2,2,0.9,0.2,-120692.32385366072,1076.7642017909689,2
0.3,4,0.7,0.1,-120718.98667646348,0.8779034561935868,2
0.2,4,0.7,0.2,-120720.73566252523,2940.2748884134708,2
0.2,2,0.8,0.1,-120724.57781720598,892.224113738532,2
0.6,5,0.9,0.4,-120734.07417169264,632.9436642053678,2
0.4,1,0.8,0.2,-120760.25824893851,6143.432868115039,2
0.3,4,0.9,0.3,-120779.76048139742,4714.405544391262,2
0.6,4,1.0,0.4,-120782.59912177615,1022.2893703641707,2
0.6,1,0.9,0.3,-120793.47575691495,374.6371232874666,2
0.4,3,0.9,0.3,-120795.38944971841,1025.2266956847282,2
0.2,4,0.9,0.4,-120826.1829535291,2602.3413077190644,2
0.6,1,1.0,0.2,-120850.0068011368,1101.3506621584932,2
0.5,1,0.6,0.1,-120863.75501677765,2099.1862327728545,2
