crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,1,0.8,0.5,1,21261,-125145.46759586998,49.25318512087688,
0.2,4,0.8,0.1,1,18972,-120283.03509407393,48.05387362930924,
0.2,1,0.6,0.5,1,22222,-126569.4300041453,49.45642654970288,
0.2,3,0.8,0.1,1,14432,-120346.71136489655,49.00052577489987,
0.2,1,0.7,0.1,0,16237,-122080.4529219456,49.69823387823999,
0.2,2,0.7,0.1,1,15216,-119241.87821153832,49.61460066307336,
0.2,3,0.9,0.4,0,19460,-120965.34725413664,48.88475663680583,
0.2,1,0.8,0.2,1,20536,-121582.70368491461,49.78274579811841,
0.2,2,0.7,0.2,0,15429,-122363.97153742137,49.69402765017003,
0.2,2,1.0,0.1,1,13928,-118990.71238150727,49.5830299872905,
0.2,4,0.6,0.1,0,18316,-124992.14927684776,48.856996905989945,
0.2,4,0.9,0.3,1,14488,-123500.9497913484,48.3886150829494,
0.2,1,1.0,0.4,0,15940,-121140.14349892286,50.30680694896728,
0.2,2,0.8,0.1,1,17211,-121355.47553836864,50.22024009516463,
0.2,4,0.6,0.5,0,19377,-125724.96242918586,49.19943802198395,
0.2,2,1.0,0.1,0,13927,-120297.72008040143,50.399658292066306,
0.2,2,0.8,0.5,1,15448,-125236.40765370101,50.488960288930684,
0.2,4,0.9,0.4,1,15617,-118986.04976787907,49.06697524804622,
0.2,4,0.6,0.2,1,20269,-121199.77718318766,49.5775894918479,
0.2,1,0.7,0.5,0,16090,-121957.9256816574,50.96088050911203,
0.2,3,0.9,0.1,0,14086,-120703.58050062081,50.18146261014044,
0.2,2,0.8,0.2,1,17425,-118848.419358042,50.85378962289542,
0.2,3,1.0,0.2,0,12883,-121686.18134005269,50.13435482326895,
0.2,1,0.8,0.3,1,15180,-122503.27302561242,51.27482805214822,
0.2,2,0.8,0.4,0,14713,-122816.59514177288,51.24629030795768,
0.2,4,0.8,0.1,0,18971,-117777.81181896945,50.330441284924746,
0.2,2,1.0,0.3,0,21187,-120878.83175490287,51.73535177716985,
0.2,1,1.0,0.4,1,15941,-123923.90718098996,52.257092596031725,
0.2,4,0.6,0.3,1,21003,-121867.3530277728,51.39484817907214,
0.2,2,1.0,0.4,0,21743,-119780.67495804686,52.297744548879564,
0.2,1,0.7,0.3,1,13185,-121532.75495321596,52.61860556108877,
0.2,1,1.0,0.2,1,15694,-121199.35179289803,52.61050483584404,
0.2,1,0.8,0.1,1,21408,-120886.39783267096,52.817002712748945,
0.2,1,0.7,0.3,0,13184,-123816.12590184575,53.321065187919885,
0.2,3,0.9,0.1,1,14087,-119679.86537922455,52.613422153983265,
0.2,2,1.0,0.2,0,14454,-120455.53090596948,53.27564345207065,
0.2,2,0.8,0.3,1,14158,-123430.32808512174,53.71931812632829,
0.2,1,0.9,0.3,0,19625,-124768.72464588082,53.86627587908879,
0.2,2,0.9,0.4,0,19159,-124389.77820416025,53.68428054405376,
0.2,2,0.8,0.3,0,14157,-124855.53008341709,53.90355021925643,
0.2,1,0.7,0.2,1,15366,-123275.96181284213,54.156340598128736,
0.2,2,0.8,0.1,0,17210,-120093.6800960433,54.31517353095114,
0.2,2,1.0,0.3,1,21188,-121758.37145796484,54.217121480964124,
