crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.4,4,0.9,0.3,-64259.29771363869,518.8082987128214,2
0.2,4,1.0,0.1,-64266.23968792084,3085.8328938375603,2
0.3,1,0.6,0.3,-64276.911389769535,3892.245030647787,2
0.3,2,0.7,0.1,-64286.92701265311,2359.4100687127325,2
0.2,2,0.8,0.5,-64295.09134942645,2271.1838214169566,2
0.5,2,0.9,0.3,-64303.15769531927,4623.687201394925,2
0.3,2,1.0,0.5,-64303.238675399494,410.79790059874495,2
0.2,4,0.7,0.1,-64329.415304092414,1728.7626078172457,2
0.2,1,1.0,0.2,-64358.27808143138,7.093369253586273,2
0.5,2,0.9,0.1,-64378.68882797158,2544.677714860204,2
0.3,3,0.9,0.3,-64410.00847857109,1040.6252125152073,2
0.3,1,1.0,0.2,-64434.090746103,15.381519233410138,2
0.3,4,0.6,0.2,-64436.093537468594,911.7895328481388,2
0.2,1,0.7,0.2,-64467.30759491437,688.7942384852171,2
0.4,5,0.7,0.1,-64473.710500971945,581.7327077250116,2
0.6,5,0.9,0.1,-64476.993965049696,612.5169988012915,2
0.6,2,0.9,0.1,-64497.20891981687,1399.2790082672975,2
0.2,1,0.8,0.3,-64498.41069095369,3092.402455521588,2
0.2,4,0.8,0.2,-64525.91020142859,613.1947894884094,2
0.3,1,1.0,0.5,-64533.668635077054,906.3772706460151,2
0.3,5,1.0,0.2,-64556.5371254371,1060.5578794579665,2
0.4,1,1.0,0.5,-64577.95829927968,280.1188746020532,2
0.4,4,0.9,0.2,-64591.12893913408,142.919486465465,2
0.3,2,0.8,0.3,-64598.04383478399,309.17433578864404,2
0.4,5,1.0,0.2,-64637.51342542319,542.3816641809872,2
0.2,5,0.9,0.3,-64642.686054623926,655.7601860732282,2
0.3,1,0.7,0.1,-64643.81668645446,2276.3527965435164,2
0.2,1,0.6,0.1,-64672.96242796097,301.2941294260279,2
0.3,3,1.0,0.3,-64680.70354597438,2133.3464818455564,2
0.5,2,0.7,0.4,-64681.11399745953,222.16015181529713,2
0.4,1,1.0,0.3,-64718.70461711177,1012.7199739173175,2
0.4,3,1.0,0.3,-64721.084757510354,1089.595594426313,2
0.4,1,0.7,0.3,-64786.526556707,1913.0528532503347,2
0.3,3,0.6,0.1,-64809.70175675378,2345.0006958971344,2
0.5,5,0.9,0.1,-64821.74827764386,777.2991784309544,2
0.5,1,0.6,0.1,-64825.389206459644,1442.9055351784968,2
0.4,3,0.9,0.3,-64845.166807172034,4123.184251360019,2
0.3,5,0.8,0.1,-64853.85847168567,71.8355988861461,2
0.2,2,0.6,0.1,-64862.14079115588,1355.4250848736697,2
0.3,4,0.7,0.2,-64879.512150262926,273.9727309450041,2
0.6,3,1.0,0.3,-64894.10876421525,307.2892112504541,2
0.6,2,0.9,0.4,-64906.14961509328,818.6064967822449,2
0.2,3,0.7,0.1,-64907.27371835137,1438.7875384198642,2
0.6,1,0.8,0.1,-64910.8817250264,220.4627005146707,2
0.5,2,1.0,0.2,-64912.801415898066,384.2619826481471,2
0.2,4,1.0,0.2,-64925.35431607583,611.4617325142633,2
0.3,4,1.0,0.4,-64963.965354561165,4409.7352378445175,2
0.2,2,1.0,0.5,-64997.92049621932,1867.1704440062783,2
0.4,4,1.0,0.3,-64998.24290641506,2780.1089540041203,2
0.2,3,0.9,0.5,-65000.29412036078,945.4261159589025,2
0.2,1,0.9,0.2,-65000.38218689157,2380.5907135182474,2
0.6,4,1.0,0.1,-65002.47997428252,668.9229591829655,2
0.4,2,0.9,0.3,-65010.1546867721,104.03014556432541,2
0.2,1,0.9,0.4,-65019.29923021261,696.6174642566725,2
0.2,5,0.7,0.1,-65020.36412923011,1347.1585751463645,2
0.3,2,0.6,0.3,-65034.50356903304,1470.0929816945277,2
0.6,2,0.8,0.1,-65039.27870870542,1186.3228544884091,2
0.3,4,0.8,0.2,-65049.03685064358,384.83567931485453,2
0.3,2,0.7,0.2,-65050.68159314554,2077.2403211612186,2
0.3,5,0.8,0.3,-65076.002010525226,4949.0320095074685,2
0.4,1,1.0,0.4,-65076.92526565089,2272.8695055818225,2
0.2,1,0.8,0.5,-65083.18465520124,4258.749226460354,2
0.4,4,1.0,0.2,-65089.12571265247,2391.82888549939,2
0.5,1,0.8,0.2,-65094.80138626802,220.1578196825544,2
0.5,5,0.8,0.1,-65106.34597820869,589.9756044676463,2
0.4,3,0.9,0.2,-65107.97774141857,992.9972731933901,2
0.3,2,0.9,0.4,-65110.631300045236,2638.1138503357292,2
0.4,3,0.9,0.1,-65127.676441198084,633.4912832039865,2
0.2,4,0.8,0.3,-65131.83305439322,1651.4750886572613,2
0.5,1,0.9,0.3,-65157.23088626437,1675.6678358246509,2
0.5,4,1.0,0.3,-65160.11932629735,2008.6056240601995,2
0.3,5,1.0,0.3,-65173.51068194311,2053.063642618859,2
0.5,2,0.8,0.3,-65181.075421860754,398.824238194547,2
0.2,1,1.0,0.4,-65182.27834972406,3155.5775490151973,2
0.5,1,0.8,0.1,-65184.522146020856,2657.8640792248902,2
0.4,5,1.0,0.5,-65185.42034250096,1175.6905846663387,2
0.6,2,1.0,0.1,-65186.286624184366,2164.9749729668124,2
0.4,2,0.8,0.3,-65203.017361124694,1613.13357408269,2
0.4,3,0.8,0.2,-65212.53782536152,2259.6186502177484,2
0.4,2,0.8,0.4,-65213.09218437047,2523.928307325112,2
0.5,1,1.0,0.4,-65215.95232629478,3029.2688029959545,2
0.6,4,0.9,0.3,-65224.367582052335,2304.6149864250006,2
0.2,4,0.8,0.1,-65229.942885592594,1244.983542621599,2
0.3,5,0.9,0.5,-65233.86242723708,758.454882235483,2
0.3,4,1.0,0.3,-65234.90935526091,1998.0674913810449,2
0.6,3,1.0,0.2,-65235.34967577414,1075.5367761621653,2
0.4,3,0.6,0.2,-65264.598736117485,4854.27016734706,2
0.4,5,0.9,0.1,-65279.56476780675,1054.8234277462914,2
0.3,3,1.0,0.4,-65303.58417363545,2809.216215533808,2
0.5,1,0.8,0.3,-65306.35067370867,2380.4036666433744,2
0.2,5,0.6,0.2,-65308.16210569898,1059.39285487393,2
0.2,3,1.0,0.4,-65310.87097693207,1005.096091194794,2
0.2,5,0.7,0.3,-65325.997274839494,484.71356122726746,2
0.4,1,0.6,0.2,-65330.6831980388,179.816368198252,2
0.6,1,0.9,0.1,-65336.562874187985,616.2167113562098,2
0.2,4,0.7,0.3,-65337.76420110623,2496.292056309161,2
0.2,4,1.0,0.3,-65344.743832235166,1174.5558793566674,2
0.3,4,0.8,0.5,-65351.519713460715,2509.1165495597243,2
0.3,3,0.9,0.2,-65360.29667863358,906.5570355480658,2
0.2,5,0.8,0.3,-65362.334083427486,1597.613023076564,2
0.5,1,1.0,0.1,-65363.34787844366,611.5828370486431,2
0.4,2,1.0,0.4,-65370.58267681427,1872.6229543958668,2
0.2,3,0.6,0.1,-65371.1915501529,3219.502782660913,2
0.4,5,0.9,0.3,-65376.49915090956,826.1373586232551,2
0.6,1,1.0,0.5,-65385.62726420906,592.0480662702909,2
0.4,4,0.9,0.4,-65387.68160411887,71.66801611279294,2
0.4,2,0.9,0.2,-65396.77123418901,1282.962185298108,2
0.5,3,1.0,0.2,-65401.88687774017,2460.477288690691,2
0.3,1,1.0,0.4,-65404.00549673605,137.02377407489794,2
0.5,1,0.9,0.1,-65410.644404443396,2569.5061153438883,2
0.4,4,0.7,0.1,-65411.55606836747,1498.929047419187,2
0.5,1,0.7,0.1,-65423.37824480322,704.1103948513575,2
0.5,5,1.0,0.1,-65436.0905737154,1029.348859829562,2
0.4,1,0.8,0.2,-65437.150073790115,3633.8624052447885,2
0.3,4,0.8,0.1,-65460.88992095372,3567.0970925601578,2
0.5,2,0.7,0.2,-65462.86874695383,2941.095298554799,2
0.6,2,0.8,0.2,-65468.086841298544,402.70234412735766,2
0.5,1,0.9,0.2,-65502.273867405034,1766.139467906022,2
0.2,1,0.8,0.2,-65514.10815476291,3308.8573348171262,2
0.3,2,0.9,0.5,-65518.81549629237,475.29311890980375,2
0.4,4,0.8,0.3,-65545.08984020022,2707.30038846024,2
0.5,5,1.0,0.2,-65552.23157339038,86.83868133519563,2
0.6,5,0.9,0.4,-65559.31233172606,1717.884302424859,2
0.5,2,1.0,0.3,-65571.69974742664,407.34451837074414,2
0.6,3,1.0,0.1,-65573.42270523784,970.7156900698924,2
0.6,1,0.8,0.2,-65581.95634181162,1838.3305574575213,2
0.6,5,1.0,0.2,-65586.41590785087,24.77234963550473,2
0.2,5,1.0,0.4,-65588.11618066026,701.9480233543187,2
0.3,3,0.8,0.5,-65602.94870644982,1084.0228580599746,2
0.5,4,1.0,0.2,-65623.90934221771,1513.2808888578938,2
0.3,1,0.9,0.5,-65642.93866858713,396.1492022114739,2
0.3,2,0.7,0.3,-65652.81263746442,590.8890909589454,2
0.5,1,0.9,0.4,-65655.2923838612,1957.276974223964,2
0.3,1,0.8,0.3,-65660.44465371901,1599.1098248762,2
0.2,5,1.0,0.3,-65662.08875796749,3050.8209944256128,2
0.5,5,0.9,0.2,-65669.51390789132,1221.2272028438294,2
0.2,1,1.0,0.5,-65676.34339207604,326.36726834121447,2
0.4,1,0.7,0.5,-65697.4757206707,2523.0666887971265,2
0.2,3,0.7,0.2,-65713.85321922723,1863.163249929782,2
0.6,3,0.8,0.4,-65714.66315923887,307.5985704636372,2
0.6,5,0.8,0.1,-65732.6554248094,669.7913016287764,2
