crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.5,3,1.0,0.3,-77627.73200797036,2104.563927704793,2
0.2,1,0.7,0.2,-77630.04907642315,1275.3561543018086,2
0.4,3,1.0,0.1,-77647.42393092136,4122.1560013836615,2
0.2,2,0.6,0.1,-77647.74728075249,278.9522042939066,2
0.5,3,0.8,0.1,-77659.24404023975,290.1409643137444,2
0.2,5,1.0,0.2,-77715.20602308196,917.0484840326349,2
0.4,2,0.8,0.3,-77726.76496113396,5004.7826969319285,2
0.6,5,0.8,0.3,-77765.14533073109,1330.606750902245,2
0.4,4,1.0,0.3,-77772.43174443158,742.037219561334,2
0.3,5,0.8,0.3,-77776.91891669024,708.1129756719325,2
0.2,4,0.7,0.2,-77802.73765331638,2704.396719173801,2
0.4,1,0.7,0.1,-77805.31631166553,3626.5216261737055,2
0.2,5,0.8,0.1,-77840.6991736873,732.9122086669448,2
0.5,5,1.0,0.4,-77848.55534180744,927.7196758656178,2
0.3,3,0.8,0.2,-77856.37703503227,5381.995178081248,2
0.6,1,1.0,0.1,-77878.30152603862,4445.311992538433,2
0.2,2,1.0,0.2,-77881.48856246613,614.3158607493316,2
0.3,1,1.0,0.2,-77902.57473837945,3096.9596432833055,2
0.4,3,0.8,0.2,-77923.54691645381,1208.720909735078,2
0.3,1,1.0,0.3,-77933.89544329731,207.80083637576533,2
0.6,1,1.0,0.3,-77935.69533693517,2369.691761556799,2
0.3,3,0.6,0.4,-77953.4937547051,1063.3935649998093,2
0.2,5,1.0,0.4,-77953.60752497936,1680.714255073999,2
0.2,3,1.0,0.3,-77985.73987454706,562.4170112212644,2
0.2,1,0.7,0.5,-78006.28025560953,41.5195728409888,2
0.3,4,0.9,0.2,-78055.17918678012,1259.1773474292988,2
0.4,5,0.7,0.2,-78068.83310160458,3440.998015805945,2
0.4,5,0.9,0.1,-78097.49436396087,157.53594236259218,2
0.2,4,0.8,0.1,-78099.42294606136,1027.4723604755072,2
0.6,1,0.9,0.1,-78131.14363522042,1137.7310742369245,2
0.5,3,0.6,0.1,-78182.00751866962,28.04945690755358,2
