i,total_vars,dag_family,p_syn,p_noise,samples
779,30,small-world,0.5,0.5,10000
780,30,small-world,1.0,0.0,500
781,30,small-world,1.0,0.0,1000
782,30,small-world,1.0,0.0,2000
783,30,small-world,1.0,0.0,5000
784,30,small-world,1.0,0.0,10000
785,30,small-world,1.0,0.1,500
786,30,small-world,1.0,0.1,1000
787,30,small-world,1.0,0.1,2000
788,30,small-world,1.0,0.1,5000
789,30,small-world,1.0,0.1,10000
790,30,small-world,1.0,0.2,500
791,30,small-world,1.0,0.2,1000
792,30,small-world,1.0,0.2,2000
793,30,small-world,1.0,0.2,5000
794,30,small-world,1.0,0.2,10000
795,30,small-world,1.0,0.3,500
796,30,small-world,1.0,0.3,1000
797,30,small-world,1.0,0.3,2000
798,30,small-world,1.0,0.3,5000
799,30,small-world,1.0,0.3,10000
800,30,small-world,1.0,0.4,500
801,30,small-world,1.0,0.4,1000
802,30,small-world,1.0,0.4,2000
803,30,small-world,1.0,0.4,5000
804,30,small-world,1.0,0.4,10000
805,30,small-world,1.0,0.5,500
806,30,small-world,1.0,0.5,1000
807,30,small-world,1.0,0.5,2000
808,30,small-world,1.0,0.5,5000
809,30,small-world,1.0,0.5,10000
