i,total_vars,dag_family,p_syn,p_noise,samples
183,10,small-world,0.0,0.0,5000
184,10,small-world,0.0,0.0,10000
185,10,small-world,0.0,0.1,500
186,10,small-world,0.0,0.1,1000
187,10,small-world,0.0,0.1,2000
188,10,small-world,0.0,0.1,5000
189,10,small-world,0.0,0.1,10000
190,10,small-world,0.0,0.2,500
191,10,small-world,0.0,0.2,1000
192,10,small-world,0.0,0.2,2000
193,10,small-world,0.0,0.2,5000
194,10,small-world,0.0,0.2,10000
195,10,small-world,0.0,0.3,500
196,10,small-world,0.0,0.3,1000
197,10,small-world,0.0,0.3,2000
198,10,small-world,0.0,0.3,5000
199,10,small-world,0.0,0.3,10000
200,10,small-world,0.0,0.4,500
201,10,small-world,0.0,0.4,1000
202,10,small-world,0.0,0.4,2000
203,10,small-world,0.0,0.4,5000
204,10,small-world,0.0,0.4,10000
205,10,small-world,0.0,0.5,500
206,10,small-world,0.0,0.5,1000
207,10,small-world,0.0,0.5,2000
208,10,small-world,0.0,0.5,5000
209,10,small-world,0.0,0.5,10000
210,10,small-world,0.5,0.0,500
211,10,small-world,0.5,0.0,1000
212,10,small-world,0.5,0.0,2000
213,10,small-world,0.5,0.0,5000
214,10,small-world,0.5,0.0,10000
215,10,small-world,0.5,0.1,500
216,10,small-world,0.5,0.1,1000
217,10,small-world,0.5,0.1,2000
218,10,small-world,0.5,0.1,5000
219,10,small-world,0.5,0.1,10000
220,10,small-world,0.5,0.2,500
221,10,small-world,0.5,0.2,1000
222,10,small-world,0.5,0.2,2000
223,10,small-world,0.5,0.2,5000
224,10,small-world,0.5,0.2,10000
225,10,small-world,0.5,0.3,500
226,10,small-world,0.5,0.3,1000
227,10,small-world,0.5,0.3,2000
228,10,small-world,0.5,0.3,5000
229,10,small-world,0.5,0.3,10000
230,10,small-world,0.5,0.4,500
231,10,small-world,0.5,0.4,1000
232,10,small-world,0.5,0.4,2000
233,10,small-world,0.5,0.4,5000
234,10,small-world,0.5,0.4,10000
235,10,small-world,0.5,0.5,500
236,10,small-world,0.5,0.5,1000
237,10,small-world,0.5,0.5,2000
238,10,small-world,0.5,0.5,5000
239,10,small-world,0.5,0.5,10000
240,10,small-world,1.0,0.0,500
241,10,small-world,1.0,0.0,1000
242,10,small-world,1.0,0.0,2000
243,10,small-world,1.0,0.0,5000
244,10,small-world,1.0,0.0,10000
245,10,small-world,1.0,0.1,500
246,10,small-world,1.0,0.1,1000
247,10,small-world,1.0,0.1,2000
248,10,small-world,1.0,0.1,5000
249,10,small-world,1.0,0.1,10000
250,10,small-world,1.0,0.2,500
251,10,small-world,1.0,0.2,1000
252,10,small-world,1.0,0.2,2000
253,10,small-world,1.0,0.2,5000
254,10,small-world,1.0,0.2,10000
255,10,small-world,1.0,0.3,500
256,10,small-world,1.0,0.3,1000
257,10,small-world,1.0,0.3,2000
258,10,small-world,1.0,0.3,5000
259,10,small-world,1.0,0.3,10000
260,10,small-world,1.0,0.4,500
261,10,small-world,1.0,0.4,1000
262,10,small-world,1.0,0.4,2000
263,10,small-world,1.0,0.4,5000
264,10,small-world,1.0,0.4,10000
265,10,small-world,1.0,0.5,500
266,10,small-world,1.0,0.5,1000
267,10,small-world,1.0,0.5,2000
268,10,small-world,1.0,0.5,5000
269,10,small-world,1.0,0.5,10000
270,20,ba,0.0,0.0,500
271,20,ba,0.0,0.0,1000
272,20,ba,0.0,0.0,2000
273,20,ba,0.0,0.0,5000
274,20,ba,0.0,0.0,10000
275,20,ba,0.0,0.1,500
276,20,ba,0.0,0.1,1000
277,20,ba,0.0,0.1,2000
278,20,ba,0.0,0.1,5000
279,20,ba,0.0,0.1,10000
280,20,ba,0.0,0.2,500
281,20,ba,0.0,0.2,1000
282,20,ba,0.0,0.2,2000
283,20,ba,0.0,0.2,5000
284,20,ba,0.0,0.2,10000
285,20,ba,0.0,0.3,500
286,20,ba,0.0,0.3,1000
287,20,ba,0.0,0.3,2000
288,20,ba,0.0,0.3,5000
289,20,ba,0.0,0.3,10000
290,20,ba,0.0,0.4,500
291,20,ba,0.0,0.4,1000
292,20,ba,0.0,0.4,2000
293,20,ba,0.0,0.4,5000
294,20,ba,0.0,0.4,10000
295,20,ba,0.0,0.5,500
296,20,ba,0.0,0.5,1000
297,20,ba,0.0,0.5,2000
